type,dwage9x,floor5x,count,countsamp,GeneralType
"Mid Floor purpose built flat, high rise",post 1990,50 to 69 sqm,46993,19,XM
"Mid Floor purpose built flat, high rise",post 1990,70 to 89 sqm,27957,14,XM
"Mid Floor purpose built flat, high rise",post 1990,90 to 109 sqm,10159,4,XM
"Mid Floor purpose built flat, high rise",post 1990,less than 50 sqm,30294,14,XM
"Mid Floor purpose built flat, high rise",pre 1850,50 to 69 sqm,1877,1,XL
"Mid Floor purpose built flat, low rise",1850 to 1899,50 to 69 sqm,1648,2,XU
"Mid Floor purpose built flat, low rise",1850 to 1899,less than 50 sqm,944,1,XU
"Mid Floor purpose built flat, low rise",1900 to 1918,50 to 69 sqm,5026,4,MD
"Mid Floor purpose built flat, low rise",1900 to 1918,90 to 109 sqm,4278,2,MD
"Mid Floor purpose built flat, low rise",1900 to 1918,less than 50 sqm,6527,4,MD
"Mid Floor purpose built flat, low rise",1919 to 1944,50 to 69 sqm,40717,22,EK
"Mid Floor purpose built flat, low rise",1919 to 1944,70 to 89 sqm,7605,5,KY
"Mid Floor purpose built flat, low rise",1919 to 1944,90 to 109 sqm,4046,3,KY
"Mid Floor purpose built flat, low rise",1919 to 1944,less than 50 sqm,9358,10,HQ
"Mid Floor purpose built flat, low rise",1945 to 1964,50 to 69 sqm,86224,66,BE
"Mid Floor purpose built flat, low rise",1945 to 1964,70 to 89 sqm,24822,15,GC
"Mid Floor purpose built flat, low rise",1945 to 1964,less than 50 sqm,35122,24,DY
"Mid Floor purpose built flat, low rise",1965 to 1974,50 to 69 sqm,49870,33,CV
"Mid Floor purpose built flat, low rise",1965 to 1974,70 to 89 sqm,19365,19,FC
"Mid Floor purpose built flat, low rise",1965 to 1974,90 to 109 sqm,405,1,TU
"Mid Floor purpose built flat, low rise",1965 to 1974,less than 50 sqm,53439,38,CF
"Mid Floor purpose built flat, low rise",1975 to 1980,110 sqm or more,1460,1,XW
"Mid Floor purpose built flat, low rise",1975 to 1980,50 to 69 sqm,41854,16,FU
"Mid Floor purpose built flat, low rise",1975 to 1980,70 to 89 sqm,11119,6,XW
"Mid Floor purpose built flat, low rise",1975 to 1980,90 to 109 sqm,861,1,XW
"Mid Floor purpose built flat, low rise",1975 to 1980,less than 50 sqm,47292,31,DB
"Mid Floor purpose built flat, low rise",1981 to 1990,50 to 69 sqm,31336,16,FV
"Mid Floor purpose built flat, low rise",1981 to 1990,70 to 89 sqm,1988,1,TX
"Mid Floor purpose built flat, low rise",1981 to 1990,less than 50 sqm,32824,25,DW
"Mid Floor purpose built flat, low rise",post 1990,110 sqm or more,5043,1,XX
"Mid Floor purpose built flat, low rise",post 1990,50 to 69 sqm,112016,50,BS
"Mid Floor purpose built flat, low rise",post 1990,70 to 89 sqm,25785,10,HR
"Mid Floor purpose built flat, low rise",post 1990,90 to 109 sqm,3041,3,XX
"Mid Floor purpose built flat, low rise",post 1990,less than 50 sqm,74680,41,CA
"Mid Floor purpose built flat, low rise",pre 1850,50 to 69 sqm,1255,1,XU
mid terrace 2 floors,1850 to 1899,110 sqm or more,57531,21,EO
mid terrace 2 floors,1850 to 1899,50 to 69 sqm,195085,95,AK
mid terrace 2 floors,1850 to 1899,70 to 89 sqm,192981,97,AH
mid terrace 2 floors,1850 to 1899,90 to 109 sqm,77689,36,CM
mid terrace 2 floors,1850 to 1899,less than 50 sqm,41869,20,EV
mid terrace 2 floors,1900 to 1918,110 sqm or more,54957,18,FF
mid terrace 2 floors,1900 to 1918,50 to 69 sqm,237347,117,V
mid terrace 2 floors,1900 to 1918,70 to 89 sqm,230576,103,AB
mid terrace 2 floors,1900 to 1918,90 to 109 sqm,104334,45,BW
mid terrace 2 floors,1900 to 1918,less than 50 sqm,28152,18,FG
mid terrace 2 floors,1919 to 1944,110 sqm or more,13478,5,KZ
mid terrace 2 floors,1919 to 1944,50 to 69 sqm,228679,153,I
mid terrace 2 floors,1919 to 1944,70 to 89 sqm,241105,125,S
mid terrace 2 floors,1919 to 1944,90 to 109 sqm,82180,31,DC
mid terrace 2 floors,1919 to 1944,less than 50 sqm,18334,10,HS
mid terrace 2 floors,1945 to 1964,110 sqm or more,8775,3,NS
mid terrace 2 floors,1945 to 1964,50 to 69 sqm,125376,132,N
mid terrace 2 floors,1945 to 1964,70 to 89 sqm,250919,217,D
mid terrace 2 floors,1945 to 1964,90 to 109 sqm,65676,41,CB
mid terrace 2 floors,1945 to 1964,less than 50 sqm,1973,3,NT
mid terrace 2 floors,1965 to 1974,110 sqm or more,9387,8,IY
mid terrace 2 floors,1965 to 1974,50 to 69 sqm,81387,56,BK
mid terrace 2 floors,1965 to 1974,70 to 89 sqm,231315,170,H
mid terrace 2 floors,1965 to 1974,90 to 109 sqm,33083,24,DZ
mid terrace 2 floors,1965 to 1974,less than 50 sqm,9034,6,KB
mid terrace 2 floors,1975 to 1980,110 sqm or more,902,2,PL
mid terrace 2 floors,1975 to 1980,50 to 69 sqm,67867,37,CK
mid terrace 2 floors,1975 to 1980,70 to 89 sqm,91494,72,AW
mid terrace 2 floors,1975 to 1980,90 to 109 sqm,12934,12,HA
mid terrace 2 floors,1975 to 1980,less than 50 sqm,13739,8,IZ
mid terrace 2 floors,1981 to 1990,110 sqm or more,3939,2,PM
mid terrace 2 floors,1981 to 1990,50 to 69 sqm,78275,40,CD
mid terrace 2 floors,1981 to 1990,70 to 89 sqm,44813,52,BO
mid terrace 2 floors,1981 to 1990,90 to 109 sqm,12357,9,IL
mid terrace 2 floors,1981 to 1990,less than 50 sqm,68371,33,CW
mid terrace 2 floors,post 1990,110 sqm or more,5259,3,NU
mid terrace 2 floors,post 1990,50 to 69 sqm,184226,104,AA
mid terrace 2 floors,post 1990,70 to 89 sqm,72011,53,BN
mid terrace 2 floors,post 1990,90 to 109 sqm,15314,7,JP
mid terrace 2 floors,post 1990,less than 50 sqm,33732,17,FN
mid terrace 2 floors,pre 1850,110 sqm or more,26652,11,HH
mid terrace 2 floors,pre 1850,50 to 69 sqm,19562,10,HT
