"","archcode","count","countsamp","conf"
"968","I-A-B-A-A",7671,5,1534.2
"969","I-A-B-B-A",946,2,473
"970","I-A-B-D-A",1581,1,1581
"971","I-A-B-F-A",7101,2,3550.5
"972","I-A-B-G-A",920,1,920
"973","I-A-B-G-B",4552,2,2276
"974","I-A-C-A-A",1789,3,596.333333333333
"975","I-A-C-B-A",910,2,455
"976","I-A-C-D-A",1208,1,1208
"977","I-A-C-D-B",413,1,413
"978","I-A-C-G-A",6359,3,2119.66666666667
"979","I-A-C-K-A",2476,1,2476
"980","I-A-D-D-A",704,1,704
"981","I-C-A-A-A",538,1,538
"982","I-C-A-A-B",54965,36,1526.80555555556
"983","I-C-A-B-A",429,1,429
"984","I-C-A-B-B",21973,13,1690.23076923077
"985","I-C-A-C-A",423,1,423
"986","I-C-A-C-B",8992,5,1798.4
"987","I-C-A-D-A",1462,4,365.5
"988","I-C-A-D-B",27715,23,1205
"989","I-C-A-F-A",4360,3,1453.33333333333
"990","I-C-A-F-B",6899,3,2299.66666666667
"991","I-C-A-G-B",45430,28,1622.5
"992","I-C-A-K-A",366,1,366
"993","I-C-A-K-B",9444,5,1888.8
"994","I-C-A-L-A",380,1,380
"995","I-C-B-A-B",16202,7,2314.57142857143
"996","I-C-B-B-B",1892,3,630.666666666667
"997","I-C-B-C-B",6519,2,3259.5
"998","I-C-B-D-B",788,1,788
"999","I-C-B-G-B",20133,12,1677.75
"1000","I-C-B-H-B",607,1,607
"1001","I-C-C-A-A",4232,3,1410.66666666667
"1002","I-C-C-A-B",32412,23,1409.21739130435
"1003","I-C-C-B-A",2771,1,2771
"1004","I-C-C-B-B",8902,9,989.111111111111
"1005","I-C-C-C-A",671,1,671
"1006","I-C-C-C-B",3082,3,1027.33333333333
"1007","I-C-C-D-A",5155,5,1031
"1008","I-C-C-D-B",30321,29,1045.55172413793
"1009","I-C-C-F-A",1975,1,1975
"1010","I-C-C-F-B",7984,3,2661.33333333333
"1011","I-C-C-G-A",5657,5,1131.4
"1012","I-C-C-G-B",46702,36,1297.27777777778
"1013","I-C-C-H-B",601,1,601
"1014","I-C-C-K-A",1039,1,1039
"1015","I-C-C-K-B",8017,5,1603.4
"1016","I-C-C-L-B",2064,1,2064
"1017","I-C-D-A-B",2707,3,902.333333333333
"1018","I-C-D-B-B",345,1,345
"1019","I-C-D-D-A",3528,4,882
"1020","I-C-D-D-B",7991,3,2663.66666666667
"1021","I-C-D-G-B",1698,2,849
