"","type","floor5x","dwage9x","count","countsamp","conf"
"9962","end terrace 3 floors","70 to 89 sqm","1981 to 1990",1958,1,1958
"5288","end terrace 3 floors","90 to 109 sqm","1981 to 1990",1463,2,731.5
"542","end terrace 3 floors","110 sqm or more","1981 to 1990",5297,4,1324.25
"4826","end terrace 3 floors","50 to 69 sqm","post 1990",3138,2,1569
"555","end terrace 3 floors","70 to 89 sqm","post 1990",20669,12,1722.41666666667
"1198","end terrace 3 floors","90 to 109 sqm","post 1990",28907,11,2627.90909090909
"2406","end terrace 3 floors","110 sqm or more","post 1990",43740,20,2187
"7396","end terrace 4 floors","110 sqm or more","post 1990",822,1,822
"670","Ground floor converted flat","less than 50 sqm","pre 1850",13226,6,2204.33333333333
"4975","Ground floor converted flat","70 to 89 sqm","pre 1850",1148,1,1148
"6881","Ground floor converted flat","90 to 109 sqm","pre 1850",4256,2,2128
"9763","Ground floor converted flat","110 sqm or more","pre 1850",1511,1,1511
"536","Ground floor converted flat","less than 50 sqm","1850 to 1899",50540,25,2021.6
"799","Ground floor converted flat","50 to 69 sqm","1850 to 1899",49471,20,2473.55
"462","Ground floor converted flat","70 to 89 sqm","1850 to 1899",16052,6,2675.33333333333
"2299","Ground floor converted flat","90 to 109 sqm","1850 to 1899",27204,7,3886.28571428571
"3730","Ground floor converted flat","110 sqm or more","1850 to 1899",5119,3,1706.33333333333
"1229","Ground floor converted flat","less than 50 sqm","1900 to 1918",34814,17,2047.88235294118
"889","Ground floor converted flat","50 to 69 sqm","1900 to 1918",34250,15,2283.33333333333
"3569","Ground floor converted flat","70 to 89 sqm","1900 to 1918",3941,4,985.25
"4341","Ground floor converted flat","90 to 109 sqm","1900 to 1918",11680,4,2920
"3399","Ground floor converted flat","110 sqm or more","1900 to 1918",7261,2,3630.5
"285","Ground floor converted flat","less than 50 sqm","1919 to 1944",24108,12,2009
"41","Ground floor converted flat","50 to 69 sqm","1919 to 1944",15355,10,1535.5
"110","Ground floor converted flat","70 to 89 sqm","1919 to 1944",4979,3,1659.66666666667
"11857","Ground floor converted flat","110 sqm or more","1919 to 1944",976,1,976
"3534","Ground floor converted flat","less than 50 sqm","1945 to 1964",8659,4,2164.75
"7209","Ground floor converted flat","50 to 69 sqm","1945 to 1964",1082,1,1082
"576","Ground floor converted flat","50 to 69 sqm","1965 to 1974",856,1,856
"6147","Ground floor purpose built flat, high rise","90 to 109 sqm","1850 to 1899",4370,1,4370
"12325","Ground floor purpose built flat, high rise","50 to 69 sqm","1900 to 1918",385,1,385
"5217","Ground floor purpose built flat, high rise","50 to 69 sqm","1919 to 1944",4623,1,4623
"8480","Ground floor purpose built flat, high rise","less than 50 sqm","1945 to 1964",2411,4,602.75
"465","Ground floor purpose built flat, high rise","50 to 69 sqm","1945 to 1964",6242,6,1040.33333333333
"2722","Ground floor purpose built flat, high rise","70 to 89 sqm","1945 to 1964",12184,1,12184
"4325","Ground floor purpose built flat, high rise","less than 50 sqm","1965 to 1974",3986,3,1328.66666666667
"3595","Ground floor purpose built flat, high rise","50 to 69 sqm","1965 to 1974",6550,4,1637.5
"4326","Ground floor purpose built flat, high rise","70 to 89 sqm","1965 to 1974",4226,5,845.2
"9227","Ground floor purpose built flat, high rise","90 to 109 sqm","1965 to 1974",7887,1,7887
"7281","Ground floor purpose built flat, high rise","50 to 69 sqm","post 1990",4421,1,4421
"1226","Ground floor purpose built flat, high rise","70 to 89 sqm","post 1990",7038,3,2346
"519","Ground floor purpose built flat, low rise","less than 50 sqm","1850 to 1899",3427,2,1713.5
"5291","Ground floor purpose built flat, low rise","50 to 69 sqm","1850 to 1899",16228,9,1803.11111111111
"7020","Ground floor purpose built flat, low rise","70 to 89 sqm","1850 to 1899",2466,1,2466
"548","Ground floor purpose built flat, low rise","110 sqm or more","1850 to 1899",5933,1,5933
"719","Ground floor purpose built flat, low rise","less than 50 sqm","1900 to 1918",3941,3,1313.66666666667
"523","Ground floor purpose built flat, low rise","50 to 69 sqm","1900 to 1918",15661,8,1957.625
"1953","Ground floor purpose built flat, low rise","70 to 89 sqm","1900 to 1918",3854,1,3854
"698","Ground floor purpose built flat, low rise","less than 50 sqm","1919 to 1944",18160,14,1297.14285714286
