name,degree.total,degree.in,degree.out,strength.total,strength.in,strength.out,between,Category
silikaltd,371,166,205,1162.9,453.6,709.3,39472.03078,
CSA_Architects,368,163,205,432.3,187.4,244.9,74.2580607,
YIRTG,343,138,205,584,232.3,351.7,11451.16101,
fireangelsafety,338,133,205,400.8,163.5,237.3,44551.34365,
HamiltonWindowz,337,132,205,358.1,142.9,215.2,690.652155,
GrahamStallwood,315,110,205,773.8,205.6,568.2,70090.01897,
ACERupdate,303,98,205,360.7,99.9,260.8,40708.996,
briddj,301,96,205,402.5,139.1,263.4,5108.396417,
ElimHousing,296,91,205,435.6,119.1,316.5,12094.67751,
chimni,293,88,205,437.4,189.2,248.2,15449.17417,
UKCXAwards,283,78,205,275.8,69.6,206.2,41224.14759,
Namgrass,276,71,205,320.8,83.6,237.2,11077.06643,
catalyst_Terry,262,57,205,335.6,57.5,278.1,3292.911,
Kat_Thorne,262,57,205,316.3,61.5,254.8,17800.32434,
TMTop100,260,55,205,337.1,78.3,258.8,266.0740409,
centralheatingq,249,44,205,249,44,205,9.462738805,
tilgear,221,16,205,93.5,15.1,78.4,267692.8659,
seesaw_studios,219,14,205,244.5,16.1,228.4,2387.603349,
sarahmacleodUK,216,11,205,193.7,7.1,186.6,1260.986665,
DomusWeb,887,683,204,1288,1078.1,209.9,89324.50575,
TheShardLondon,665,461,204,755.6,561.4,194.2,268744.4627,
Whitefriars,489,285,204,553.5,308,245.5,10441.22215,
IETevents,462,258,204,580.2,308.7,271.5,29297.95017,
keepnhspublic,452,248,204,499,279.6,219.4,32864.31333,
STFC_Matters,450,246,204,585.5,341.8,243.7,113683.7406,
Bridgwater_Coll,441,237,204,483.1,256,227.1,45682.14218,
MSFTBusinessUK,397,193,204,459.4,248.1,211.3,13565.14042,
RomillyMadew,375,171,204,1007.8,564.2,443.6,3438.382938,
LCHousingltd,363,159,204,488.7,229.5,259.2,1644.77125,
ForsterAnnette,323,119,204,803,231.2,571.8,11010.06493,
BarbaraWeissArc,302,98,204,388.8,111.2,277.6,198.2662806,
H2PropServices,291,87,204,308.4,85.8,222.6,6877.633671,
brookes_hone,276,72,204,641.8,82.7,559.1,68554.61064,
quals_wales,276,72,204,324.1,106.6,217.5,12220.57574,
ONRpressoffice,267,63,204,291.5,75.4,216.1,6616.587994,
Stefanie__Kate,253,49,204,399.6,54.7,344.9,26946.70499,
Hollyjake,250,46,204,247.8,46.2,201.6,91.48831837,
MilliganKnight,249,45,204,314.9,51.3,263.6,413.9023066,
erindavies,236,32,204,426.2,45.4,380.8,27904.709,
DavidWaddle1,235,31,204,315.9,30.6,285.3,13071.62038,
FirstEventRich,235,31,204,244.9,29.6,215.3,3747.20903,
saint_hubert,213,9,204,241.9,8.2,233.7,2296.269368,
TwitterUK,817,614,203,681.7,530.2,151.5,677447.131,Junk
mrdanwalker,765,562,203,651.2,465.1,186.1,210208.7762,
freshbusiness,587,384,203,593.1,400.3,192.8,59075.85345,
geomr,391,188,203,523,275.4,247.6,18944.68082,
officialcalor,386,183,203,509.9,218.5,291.4,97648.316,
NPTCGroup,342,139,203,514.5,187.4,327.1,103492.1493,
SaraStefaninii,300,97,203,448,115.1,332.9,3498.445294,
markwfranks,293,90,203,325.6,105.3,220.3,16338.6286,
VanessaRTO,278,75,203,425.2,132.2,293,2083.95553,
SarahPeake12,269,66,203,610.8,114,496.8,31802.84643,
helen__kings,264,61,203,355.5,90.9,264.6,11357.84135,
LSEFoundations,261,58,203,528.6,72.7,455.9,10514.82019,
Balderdash33,255,52,203,269.9,63.1,206.8,29312.32988,
laura_ham28,252,49,203,292.5,67.4,225.1,1321.02734,
Prettys_Law,246,43,203,276.8,56.6,220.2,3130.56659,
ianbremmer,1088,886,202,716.1,514.8,201.3,41377.89004,
glynPBC_Today,762,560,202,999,601.4,397.6,93611.31447,
NewUrbanism,700,498,202,992.5,625.4,367.1,17544.45997,
WWHA,651,449,202,862.6,520.4,342.2,16510.87952,
AggregateUK,645,443,202,967.8,583.5,384.3,238109.805,
AnnMroz,544,342,202,664.3,408.9,255.4,76469.83032,
WarwickshireCol,532,330,202,845.7,505.5,340.2,11879.60973,
ruthreed01,373,171,202,506.4,194,312.4,15163.73877,
professor_dave,372,170,202,256.7,130.1,126.6,154594.0438,
PeelLivWaters,370,168,202,554.2,284.2,270,83179.20177,
InnFin,356,154,202,404.1,189.6,214.5,19072.89785,
thesolarblogger,355,153,202,1246.2,583.9,662.3,811.3890088,
sng_paul,339,137,202,986,238.6,747.4,33647.96045,
bryonyday,319,117,202,671.1,177.2,493.9,135364.563,
RPBWARCHITECTS,317,115,202,625,169.5,455.5,13167.53136,
ScharfOrbit,312,110,202,525.4,149,376.4,2068.654583,
